index,NA,NS,LS,MS,S,HS,name,NA_change,NA_change_%,NS_change,NS_change_%,LS_change,LS_change_%,MS_change,MS_change_%,S_change,S_change_%,HS_change,HS_change_%,weight
-0.2,4935.6252,2087.3601,12.1752,386.1126,2064.1185,242.316,population,0.0,0.0,0.0,0.0,5.931900000000001,95.01225313536112,57.464999999999975,17.485294278735026,-10.177200000000084,-0.4906340016999545,-53.21970000000002,-18.007875190713005,0.196
-0.19,4935.6252,2087.3601,11.9268,384.4107,2064.0645,244.3203,population,0.0,0.0,0.0,0.0,5.6835,91.03358800634281,55.76310000000001,16.96744476454415,-10.231200000000172,-0.49323729495269986,-51.21540000000002,-17.329683012915194,0.196
-0.18,4935.6252,2087.3601,11.9178,378.8379,2067.795,246.1716,population,0.0,0.0,0.0,0.0,5.6745,90.88943347268273,50.19029999999998,15.271768301365954,-6.500700000000052,-0.31339311940915904,-49.36410000000001,-16.703261230369122,0.196
-0.17,4935.6252,2087.3601,10.5327,378.6129,2068.7346,246.8421,population,0.0,0.0,0.0,0.0,4.2894000000000005,68.70405074239586,49.96530000000001,15.203305911864263,-5.561100000000351,-0.2680958168114773,-48.69360000000003,-16.476385086471794,0.196
-0.16,4935.6252,2087.3601,10.476,375.1128,2071.5237,247.6098,population,0.0,0.0,0.0,0.0,4.232700000000001,67.79587718033736,46.46519999999998,14.138304980775754,-2.7719999999999345,-0.13363572030737636,-47.92590000000001,-16.21661951500276,0.196
-0.15,4935.6252,2087.3601,10.2681,372.4362,2071.5129,250.5051,population,0.0,0.0,0.0,0.0,4.024800000000001,64.46590745278941,43.788599999999974,13.32387639526349,-2.782799999999952,-0.13415637895792543,-45.03060000000002,-15.236940917797753,0.196
-0.14,4935.6252,2087.3601,10.26,368.2386,2074.9392,251.2845,population,0.0,0.0,0.0,0.0,4.0167,64.33616837249532,39.59100000000001,12.046642056719723,0.6434999999996762,0.031022577928483206,-44.25120000000001,-14.973216433750647,0.196
-0.13,4935.6252,2087.3601,10.0629,366.7194,2065.1265,262.8135,population,0.0,0.0,0.0,0.0,3.819600000000001,61.179184085339514,38.071799999999996,11.584384002804219,-9.169200000000274,-0.44203919431546207,-32.72220000000004,-11.072164885663573,0.196
-0.12,4935.6252,2087.3601,10.0323,363.3282,2064.6765,266.6853,population,0.0,0.0,0.0,0.0,3.7889999999999997,60.6890586708952,34.68059999999997,10.552518868234536,-9.619200000000092,-0.4637333047549629,-28.850400000000036,-9.762069354057745,0.196
-0.11,4935.6252,2087.3601,9.7065,360.9729,2067.084,266.9589,population,0.0,0.0,0.0,0.0,3.4632000000000005,55.47066455240019,32.32529999999997,9.835854574930707,-7.211700000000292,-0.34766981390359586,-28.57679999999999,-9.669491706078146,0.196
-0.1,4935.6252,2087.3601,9.5823,354.2895,2073.1905,267.66,population,0.0,0.0,0.0,0.0,3.3390000000000004,53.48133198789103,25.641899999999964,7.802247757172109,-1.105199999999968,-0.053280735239434183,-27.875699999999995,-9.432261483130462,0.196
-0.09,4935.6252,2087.3601,9.1818,352.6011,2074.1994,268.74,population,0.0,0.0,0.0,0.0,2.9385000000000012,47.06645524001732,23.953499999999963,7.288505986351327,-0.0963000000001557,-0.0046425396340625735,-26.79570000000001,-9.06682339900053,0.196
-0.08,4935.6252,2087.3601,9.1296,348.9759,2076.8346,269.7822,population,0.0,0.0,0.0,0.0,2.8863000000000003,46.23035894478882,20.328300000000013,6.185439966699898,2.5389000000000124,0.1223981710997141,-25.75350000000003,-8.714175647815146,0.196
-0.07,4935.6252,2087.3601,9.0792,348.4926,2074.9419,272.2086,population,0.0,0.0,0.0,0.0,2.8359000000000005,45.42309355629236,19.84499999999997,6.038382754050225,0.6461999999996806,0.031152742591120473,-23.32710000000003,-7.893158085469887,0.196
-0.06,4935.6252,2087.3601,9.0045,347.463,2075.6916,272.5632,population,0.0,0.0,0.0,0.0,2.7612000000000005,44.226610926913665,18.81540000000001,5.725098859690444,1.3958999999999833,0.06729513058335815,-22.972500000000025,-7.773172581180556,0.196
-0.05,4935.6252,2087.3601,9.0027,342.2349,2079.3186,274.1661,population,0.0,0.0,0.0,0.0,2.759400000000001,44.19778002018165,13.58729999999997,4.134306777228852,5.022899999999936,0.2421496607258037,-21.369600000000048,-7.230801557984382,0.196
-0.04,4935.6252,2087.3601,6.5889,336.4902,2076.7158,284.9274,population,0.0,0.0,0.0,0.0,0.34560000000000013,5.535534092547214,7.8426000000000045,2.386325048471373,2.4200999999998203,0.11667092594367429,-10.608300000000042,-3.589515581366326,0.196
