,0,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0,0
1,0,1424,0,0,114,0,217,50,0
2,0,0,1725,0,0,0,23,0,0
3,0,0,0,176,18,65,0,6,29
4,0,38,0,2,1747,52,0,12,27
5,0,1,0,35,53,920,0,6,6
6,0,211,0,0,8,0,3591,184,0
7,0,15,0,2,404,11,345,2379,0
8,0,0,0,10,2,33,5,16,921
